customer_id,gender,senior_citizen,tenure_months,monthly_fee,total_charges,payment_method,subscription_plan,churned
7590-VHVEG,Female,0,1,29.85,29.85,Electronic,Basic,No
5575-GNVDE,Male,0,34,56.95,1889.5,Mailed,Standard,No
3668-QPYBK,Male,0,2,53.85,108.15,Mailed,Standard,Yes
7795-CFOCW,Male,0,45,42.3,1840.75,Bank Transfer,Basic,No
9237-HQITU,Female,0,2,70.7,151.65,Electronic,Standard,Yes
9305-CDSKC,Female,0,8,99.65,820.5,Electronic,Premium,Yes
1452-KIOVK,Male,0,22,89.1,1949.4,Credit Card,Premium,No
6713-OKOMC,Female,0,10,29.75,301.9,Mailed,Basic,No
7892-POOKP,Female,0,28,104.8,3046.05,Electronic,Premium,Yes
6388-TABGU,Male,0,62,56.15,3487.95,Bank Transfer,Standard,No
9763-GRSKD,Male,0,13,49.95,587.45,Mailed,Basic,No
7469-LKBCI,Male,0,16,18.95,326.8,Credit Card,Basic,No
8091-TTVAX,Male,0,58,100.35,5681.1,Credit Card,Premium,No
0280-XJGEX,Male,0,49,103.7,5036.3,Bank Transfer,Premium,Yes
5129-JLPIS,Male,0,25,105.5,2686.05,Electronic,Premium,No
3655-SNQYZ,Female,0,69,113.25,7895.15,Credit Card,Premium,No
8191-XWSZG,Female,0,52,20.65,1022.95,Mailed,Basic,No
9959-WOFKT,Male,0,71,106.7,7382.25,Bank Transfer,Premium,No
4190-MFLUW,Female,0,10,55.2,528.35,Credit Card,Standard,Yes
4183-MYFRB,Female,0,21,90.05,1862.9,Electronic,Premium,No
8779-QRDMV,Male,1,1,39.65,39.65,Electronic,Basic,Yes
1680-VDCWW,Male,0,12,19.8,202.25,Bank Transfer,Basic,No
1066-JKSGK,Male,0,1,20.15,20.15,Mailed,Basic,Yes
3638-WEABW,Female,0,58,59.9,3505.1,Credit Card,Standard,No
6322-HRPFA,Male,0,49,59.6,2970.3,Credit Card,Standard,No
6865-JZNKO,Female,0,30,55.3,1530.6,Bank Transfer,Standard,No
6467-CHFZW,Male,0,47,99.35,4749.15,Electronic,Premium,Yes
8665-UTDHZ,Male,0,1,30.2,30.2,Electronic,Basic,Yes
5248-YGIJN,Male,0,72,90.25,6369.45,Credit Card,Premium,No
8773-HHUOZ,Female,0,17,64.7,1093.1,Mailed,Standard,Yes
